prey_code,pred_code,weight
F37,F201,0.000260002
F38,F201,2.59E-04
F40,F201,2.59E-04
F41,F201,0.000256678
F49,F201,2.60E-04
F50,F201,2.59E-04
F51,F201,2.60E-04
F52,F201,0.000259726
F55,F201,2.59E-04
F60,F201,0.000129863
F61,F201,0.000129863
F8,F201,0.000259449
F84,F201,0.000259726
F85,F201,0.000259726
F9,F201,0.000259726
F1,F202,3.35E-05
F10,F202,3.58E-05
F100,F202,3.57534E-05
F101,F202,3.54E-05
F102,F202,3.52034E-05
F104,F202,3.55E-05
F110,F202,3.57E-05
F118,F202,3.57534E-05
F119,F202,3.58E-05
F120,F202,3.57534E-05
F121,F202,3.58E-05
F122,F202,3.54E-05
F123,F202,3.57534E-05
F124,F202,3.57534E-05
F128,F202,3.57534E-05
F129,F202,3.57534E-05
F13,F202,3.57534E-05
F131,F202,3.57534E-05
F132,F202,3.37296E-05
F139,F202,3.57534E-05
F14,F202,3.57534E-05
F145,F202,3.56848E-05
F146,F202,3.57534E-05
F147,F202,3.57534E-05
F148,F202,3.62E-05
F149,F202,3.56E-05
F15,F202,3.57534E-05
F150,F202,3.57E-05
F151,F202,3.52034E-05
F152,F202,3.57534E-05
F153,F202,3.57534E-05
F155,F202,3.48042E-05
F157,F202,3.57534E-05
F159,F202,3.52499E-05
F161,F202,3.57534E-05
F163,F202,3.57E-05
F166,F202,3.40509E-05
F167,F202,3.57534E-05
F168,F202,3.48814E-05
F169,F202,3.57534E-05
F174,F202,3.57534E-05
F177,F202,3.57534E-05
F179,F202,3.57534E-05
F180,F202,3.46662E-05
F185,F202,3.57534E-05
F186,F202,3.57534E-05
F187,F202,3.57534E-05
F188,F202,3.35713E-05
F19,F202,3.57534E-05
F192,F202,3.57534E-05
F193,F202,3.57534E-05
F198,F202,3.35713E-05
F2,F202,3.58E-05
F203,F202,3.57534E-05
F205,F202,3.60865E-05
F207,F202,3.54313E-05
F21,F202,3.57534E-05
F28,F202,3.58E-05
F3,F202,3.58E-05
F4,F202,3.57534E-05
F42,F202,3.57534E-05
F43,F202,3.55228E-05
F44,F202,3.57534E-05
F45,F202,3.57534E-05
F46,F202,3.57534E-05
F48,F202,3.57E-05
F49,F202,3.58E-05
F5,F202,3.57534E-05
F50,F202,3.57E-05
F51,F202,3.58E-05
F52,F202,3.58E-05
F53,F202,3.52E-05
F59,F202,3.53E-05
F6,F202,3.57534E-05
F60,F202,1.78767E-05
F61,F202,1.78767E-05
F64,F202,3.54E-05
F65,F202,3.58E-05
F7,F202,3.57534E-05
F70,F202,3.57534E-05
F71,F202,3.57534E-05
F72,F202,3.57E-05
F74,F202,3.56346E-05
F76,F202,3.58E-05
F77,F202,3.60106E-05
F78,F202,3.59934E-05
F79,F202,3.58E-05
F8,F202,3.57E-05
F84,F202,3.57534E-05
F85,F202,3.57534E-05
F86,F202,3.54E-05
F87,F202,3.15008E-05
F88,F202,3.25031E-05
F89,F202,3.60E-05
F9,F202,3.58E-05
F90,F202,3.53187E-05
F91,F202,0.000036206
F95,F202,3.56E-05
F96,F202,3.53E-05
F97,F202,3.57534E-05
F98,F202,3.57534E-05
F60,F203,0.012945205
F61,F203,0.012945205
F193,F204,0.003869918
F24,F204,0.00044365
F25,F204,0.000437269
F26,F204,4.41E-04
F27,F204,0.000440877
F28,F204,0.000440877
F29,F204,0.000440877
F30,F204,0.000440877
F31,F204,0.000440497
F32,F204,0.000441578
F49,F204,0.001934959
F50,F204,0.001932818
F51,F204,0.003820932
