prey_code,pred_code,weight
F55,F201,2.59E-04
F60,F201,0.000129863
F60,F201,0.000129863
F8,F201,0.000259449
F84,F201,0.000259726
F84,F201,0.000259726
F8,F201,0.000259726
F1,F201,3.35E-05
F10,F201,3.58E-05
F100,F201,3.57534E-05
F100,F201,3.54E-05
F100,F201,3.52034E-05
F100,F201,3.55E-05
F105,F201,3.57E-05
F115,F201,3.57534E-05
F115,F201,3.58E-05
F120,F201,3.57534E-05
F121,F201,3.58E-05
F121,F201,3.54E-05
F123,F201,3.57534E-05
F123,F201,3.57534E-05
F128,F201,3.57534E-05
F128,F201,3.57534E-05
F11,F201,3.57534E-05
F131,F201,3.57534E-05
F131,F201,3.37296E-05
F139,F201,3.57534E-05
F14,F201,3.57534E-05
F140,F201,3.56848E-05
F140,F201,3.57534E-05
F140,F201,3.57534E-05
F140,F201,3.62E-05
F140,F201,3.56E-05
F14,F201,3.57534E-05
F140,F201,3.57E-05
F140,F201,3.52034E-05
F140,F201,3.57534E-05
F140,F201,3.57534E-05
F154,F201,3.48042E-05
F156,F201,3.57534E-05
F156,F201,3.52499E-05
F156,F201,3.57534E-05
F156,F201,3.57E-05
F166,F201,3.40509E-05
F166,F201,3.57534E-05
F166,F201,3.48814E-05
F166,F201,3.57534E-05
F173,F201,3.57534E-05
F173,F201,3.57534E-05
F178,F201,3.57534E-05
F178,F201,3.46662E-05
F178,F201,3.57534E-05
F178,F201,3.57534E-05
F178,F201,3.57534E-05
F178,F201,3.35713E-05
F19,F201,3.57534E-05
F178,F201,3.57534E-05
F178,F201,3.57534E-05
F194,F201,3.35713E-05
F1,F201,3.58E-05
F203,F201,3.57534E-05
F203,F201,3.60865E-05
F206,F201,3.54313E-05
F19,F201,3.57534E-05
F24,F201,3.58E-05
F1,F201,3.58E-05
F4,F201,3.57534E-05
F42,F201,3.57534E-05
F42,F201,3.55228E-05
F42,F201,3.57534E-05
F42,F201,3.57534E-05
F46,F201,3.57534E-05
F47,F201,3.57E-05
F49,F201,3.58E-05
F4,F201,3.57534E-05
F49,F201,3.57E-05
F49,F201,3.58E-05
F49,F201,3.58E-05
F53,F201,3.52E-05
F59,F201,3.53E-05
F6,F201,3.57534E-05
F60,F201,1.78767E-05
F60,F201,1.78767E-05
F64,F201,3.54E-05
F64,F201,3.58E-05
F6,F201,3.57534E-05
F70,F201,3.57534E-05
F70,F201,3.57534E-05
F72,F201,3.57E-05
F73,F201,3.56346E-05
F73,F201,3.58E-05
F73,F201,3.60106E-05
F73,F201,3.59934E-05
F73,F201,3.58E-05
F8,F201,3.57E-05
F84,F201,3.57534E-05
F84,F201,3.57534E-05
F86,F201,3.54E-05
F86,F201,3.15008E-05
F86,F201,3.25031E-05
F86,F201,3.60E-05
F8,F201,3.58E-05
F86,F201,3.53187E-05
F86,F201,0.000036206
F100,F201,3.56E-05
F100,F201,3.53E-05
F100,F201,3.57534E-05
F100,F201,3.57534E-05
F60,F203,0.012945205
F60,F203,0.012945205
F178,F203,0.003869918
F24,F203,0.00044365
F24,F203,0.000437269
F24,F203,4.41E-04
F24,F203,0.000440877
F24,F203,0.000440877
F24,F203,0.000440877
F24,F203,0.000440877
F24,F203,0.000440497
F24,F203,0.000441578
F49,F203,0.001934959
F49,F203,0.001932818
F49,F203,0.003820932
F73,F203,0.000416384
F73,F203,0.000417326
F73,F203,0.000419379
F73,F203,0.000419178
F73,F203,4.16E-04
F8,F203,0.001932897
F73,F203,0.000416384
F73,F203,0.000418938
F73,F203,4.16E-04
F73,F203,0.000414347
F8,F203,0.001934959
F1,F208,7.08E-05
F10,F208,7.56164E-05
F100,F208,7.56164E-05
F100,F208,7.48475E-05
F100,F208,7.44531E-05
F100,F208,7.50115E-05
F105,F208,7.55E-05
F115,F208,7.56164E-05
F115,F208,7.56E-05
F120,F208,7.56164E-05
F121,F208,7.56E-05
F121,F208,7.48678E-05
F123,F208,7.56164E-05
F123,F208,7.56164E-05
F128,F208,7.56164E-05
F128,F208,7.56164E-05
F11,F208,7.56164E-05
F131,F208,7.56164E-05
F131,F208,7.13363E-05
F139,F208,7.56164E-05
F14,F208,7.56164E-05
F140,F208,7.54713E-05
F140,F208,7.56164E-05
F140,F208,7.56164E-05
F140,F208,7.65E-05
F140,F208,7.53E-05
F14,F208,7.56164E-05
F140,F208,7.55E-05
F140,F208,7.44531E-05
F140,F208,7.56164E-05
F140,F208,7.56164E-05
F156,F208,7.56438E-05
F156,F208,7.57E-05
F156,F208,7.55E-05
F156,F208,7.56E-05
F156,F208,7.55E-05
F166,F208,7.20157E-05
F166,F208,7.56164E-05
F166,F208,7.37721E-05
F166,F208,7.56164E-05
F173,F208,7.56164E-05
F173,F208,7.56164E-05
F178,F208,7.56164E-05
F178,F208,0.000073317
F178,F208,7.56164E-05
F178,F208,7.56164E-05
F178,F208,7.56164E-05
F178,F208,7.10014E-05
F19,F208,7.56164E-05
F178,F208,7.56164E-05
F178,F208,7.56164E-05
F194,F208,7.10014E-05
F1,F208,7.56E-05
F203,F208,7.56164E-05
F203,F208,7.63209E-05
F206,F208,7.49352E-05
F19,F208,7.56164E-05
F24,F208,7.56E-05
F1,F208,7.56E-05
F4,F208,7.56164E-05
F42,F208,7.56164E-05
F42,F208,7.51286E-05
F42,F208,7.56164E-05
F42,F208,7.56164E-05
F46,F208,7.56164E-05
F47,F208,0.00007553
F49,F208,7.56E-05
F4,F208,7.56164E-05
F49,F208,7.55E-05
F49,F208,7.56E-05
F49,F208,7.56E-05
F53,F208,7.44531E-05
F59,F208,7.46E-05
F6,F208,7.56164E-05
F60,F208,0.000050411
F60,F208,2.52055E-05
F64,F208,7.49E-05
F64,F208,7.56E-05
F6,F208,7.56164E-05
F70,F208,7.56164E-05
F70,F208,7.56164E-05
F72,F208,7.55E-05
F73,F208,7.53652E-05
F73,F208,7.57876E-05
F73,F208,7.61604E-05
F73,F208,7.61239E-05
F73,F208,7.56E-05
F8,F208,7.55359E-05
F84,F208,7.56164E-05
F84,F208,7.56164E-05
F86,F208,7.48678E-05
F86,F208,6.66224E-05
F86,F208,6.87422E-05
F86,F208,7.62E-05
F8,F208,7.56164E-05
F86,F208,7.46971E-05
F86,F208,7.65736E-05
F100,F208,7.52E-05
F100,F208,7.46E-05
F100,F208,7.56164E-05
F100,F208,7.56164E-05
F24,F22,0.003870795
F49,F22,0.003870795
F60,F22,0.001935397
F60,F22,0.001921863
F67,F22,0.00790074
F105,F24,0.004137968
F156,F24,0.000828493
F156,F24,0.000828107
F156,F24,0.000826812
F156,F24,0.000827271
F156,F24,0.000826475
F100,F24,0.004142466
F49,F24,0.00346411
F49,F24,0.003460277
F8,F24,0.003460418
F8,F24,0.00346411
F86,F24,0.007040111
F1,F24,0.000439
F115,F24,0.001405644
F121,F24,0.001405644
F121,F24,0.001391727
F140,F24,0.001405644
F156,F24,0.000137858
F156,F24,0.001543452
F156,F24,1.38E-04
F156,F24,0.000135867
F156,F24,1.38E-04
F156,F24,0.001543452
F156,F24,1.38E-04
F156,F24,1.38E-04
F156,F24,0.000137605
F156,F24,0.000137473
F178,F24,0.001405644
F19,F24,0.001405644
F1,F24,0.000468548
F1,F24,0.001874192
F49,F24,0.001405644
F49,F24,0.001405644
F60,F24,0.001405644
F60,F24,0.001405644
F8,F24,0.000688307
F8,F24,0.000689041
F49,F24,0.035369753
F11,F24,0.000950774
F11,F24,0.000933304
F11,F24,0.00094389
F154,F24,0.002860274
F194,F24,0.000958192
F194,F24,0.000953377
F194,F24,0.000937639
F24,F24,2.86E-03
F73,F24,0.002866747
F49,F24,0.011881315
F60,F24,0.005940658
F60,F24,0.005940658
F1,F33,1.65E-04
F10,F33,0.000175616
F100,F33,0.000175616
F100,F33,0.000173831
F100,F33,0.000172915
F100,F33,0.000174212
F105,F33,1.75E-04
F115,F33,0.000175616
F115,F33,0.000175616
F120,F33,0.000175616
F121,F33,0.000175616
F121,F33,0.000173878
F123,F33,0.000175616
F123,F33,0.000175616
F128,F33,0.000175616
F128,F33,0.000175616
F11,F33,0.000175616
F131,F33,0.000175616
F131,F33,0.000165676
F139,F33,0.000175616
F14,F33,0.000175616
F140,F33,0.000175279
F140,F33,0.000175616
F140,F33,0.000175616
F140,F33,0.000177635
F140,F33,0.000174954
F14,F33,0.000175616
F140,F33,1.75E-04
F140,F33,0.000172915
F140,F33,0.000175616
F140,F33,0.000175616
F154,F33,0.000170954
F156,F33,0.000175616
F156,F33,0.000173143
F156,F33,0.000175616
F156,F33,1.75E-04
F166,F33,0.000167254
F166,F33,0.000175616
F166,F33,0.000171333
F166,F33,0.000175616
F173,F33,0.000175616
F173,F33,0.000175616
F178,F33,0.000175616
F178,F33,0.000170276
F178,F33,0.000175616
F178,F33,0.000175616
F178,F33,0.000175616
F178,F33,0.000164898
F19,F33,0.000175616
F178,F33,0.000175616
F178,F33,0.000175616
F194,F33,0.000164898
F1,F33,1.76E-04
F203,F33,0.000175616
F203,F33,0.000177253
F206,F33,0.000174034
F19,F33,0.000175616
F24,F33,0.000175616
F1,F33,1.76E-04
F4,F33,0.000175616
F42,F33,0.000175616
F42,F33,0.000174483
F42,F33,0.000175616
F42,F33,0.000175616
F46,F33,0.000175616
F47,F33,0.000175416
F49,F33,1.76E-04
F4,F33,0.000175616
F49,F33,1.75E-04
F49,F33,1.76E-04
F49,F33,1.76E-04
F53,F33,0.000172915
F59,F33,0.000173211
F6,F33,0.000175616
F60,F33,8.78082E-05
F60,F33,8.78082E-05
F64,F33,0.000173859
F64,F33,1.76E-04
F6,F33,0.000175616
F70,F33,0.000175616
F70,F33,0.000175616
F72,F33,1.75E-04
F73,F33,0.000175033
F73,F33,0.000176014
F73,F33,0.00017688
F73,F33,0.000176795
F73,F33,1.76E-04
F8,F33,0.000175429
F84,F33,0.000175616
F84,F33,0.000175616
F86,F33,0.000173878
F86,F33,0.000154728
F86,F33,0.000159651
F86,F33,1.77E-04
F8,F33,0.000175616
F86,F33,0.000173481
F86,F33,0.000177839
F100,F33,0.0001747
F100,F33,0.00017317
F100,F33,0.000175616
F100,F33,0.000175616
F1,F33,6.25E-05
F10,F33,6.67123E-05
F100,F33,6.67123E-05
F100,F33,6.60E-05
F100,F33,6.69802E-05
F105,F33,7.93471E-05
F105,F33,8.01E-05
