"Food_Web","Measure","Species","Distinctiveness"
"Serengeti_Baskerville","FP","cymbopogon_to_andropogon",12.824997
"Serengeti_Baskerville","FP","cymbopogon_to_others",8.9125
"Serengeti_Baskerville","FP","cynodon_dactylon",5.326389
"Serengeti_Baskerville","FP","cyperaceae_to_typhaceae",6
"Serengeti_Baskerville","FP","cyperus_spp.",53
"Serengeti_Baskerville","FP","cyperus_to_kyllinga",53
"Serengeti_Baskerville","FP","cyphostemma_spp.",68
"Serengeti_Baskerville","FP","Damaliscus_korrigum",14.7
"Serengeti_Baskerville","FP","digitaria",50.5
"Serengeti_Baskerville","FP","digitaria_abyssinica",11
"Serengeti_Baskerville","FP","digitaria_diagonalis",11
"Serengeti_Baskerville","FP","digitaria_macroblephara",11
"Serengeti_Baskerville","FP","digitaria_milanjiana",11
"Serengeti_Baskerville","FP","digitaria_ternata",11
"Serengeti_Baskerville","FP","digitaria_to_others",12.625
"Serengeti_Baskerville","FP","digitaria_velutina",11
"Serengeti_Baskerville","FP","diheteropogon_amplectens",15.9125
"Serengeti_Baskerville","FP","diheteropogon_to_hyparrhenia",6.9125
"Serengeti_Baskerville","FP","dinebra_retroflexa",22.958334
"Serengeti_Baskerville","FP","dinebra_to_others",6.979166
"Serengeti_Baskerville","FP","duosperma_kilimandscharicum",31.7781203247863
"Serengeti_Baskerville","FP","duosperma_to_hypoestes",24.4281203247863
"Serengeti_Baskerville","FP","echinochloa_haploclada",48.875
"Serengeti_Baskerville","FP","echinochloa_to_others",12.625
"Serengeti_Baskerville","FP","emilia",98.1561111111111
"Serengeti_Baskerville","FP","emilia_coccinea",317.256111111111
"Serengeti_Baskerville","FP","emilia_ukambensis",317.256111111111
"Serengeti_Baskerville","FP","Equus_quagga",85.3
"Serengeti_Baskerville","FP","eragrostideae_to_others",18.9375
"Serengeti_Baskerville","FP","eragrostis",18.9375
"Serengeti_Baskerville","FP","eragrostis_aspera",11
"Serengeti_Baskerville","FP","eragrostis_cilianensis",11
"Serengeti_Baskerville","FP","eragrostis_exasperata",11
"Serengeti_Baskerville","FP","eragrostis_tenuifolia",11
"Serengeti_Baskerville","FP","eragrostis_to_harpachne_to_psilolemma",18.9375
"Serengeti_Baskerville","FP","eriochloa_fatmensis",9.166667
"Serengeti_Baskerville","FP","eriochloa_to_tricholaena",9.166667
"Serengeti_Baskerville","FP","eudicot_to_monocot",239.799988
"Serengeti_Baskerville","FP","Eudorcas_thomsonii",6.1
"Serengeti_Baskerville","FP","euphorbia_candelabrum",41.666668
"Serengeti_Baskerville","FP","euphorbiaceae_to_phyllanthaceae",29.666666
"Serengeti_Baskerville","FP","eustachys_paspaloides",5.326389
"Serengeti_Baskerville","FP","eustachys_to_cynodon",5.326389
"Serengeti_Baskerville","FP","fabales_to_others",8
"Serengeti_Baskerville","FP","fabids",4
"Serengeti_Baskerville","FP","ficus",64
"Serengeti_Baskerville","FP","ficus_glumosa",12
"Serengeti_Baskerville","FP","ficus_ingens",12
"Serengeti_Baskerville","FP","ficus_thonningii",12
"Serengeti_Baskerville","FP","gentiales_to_others",1.91380341880342
"Serengeti_Baskerville","FP","Giraffa_camelopardalis",26.8
"Serengeti_Baskerville","FP","grewia",28.8307692307692
"Serengeti_Baskerville","FP","grewia_arborea",12.4641025641026
"Serengeti_Baskerville","FP","grewia_bicolor",12.4641025641026
"Serengeti_Baskerville","FP","grewia_trichocarpa",12.4641025641026
"Serengeti_Baskerville","FP","grewioideae_to_malvoideae",60
"Serengeti_Baskerville","FP","harpachne_schimperi",29.9375
"Serengeti_Baskerville","FP","heliotropium_steudneri",57.2516822066822
"Serengeti_Baskerville","FP","Heterohyrax_brucei",13.6
"Serengeti_Baskerville","FP","heteropogon_contortus",8.9125
"Serengeti_Baskerville","FP","hibisceae_to_malveae",10.1641022307692
"Serengeti_Baskerville","FP","hibiscus",18.4766032307692
"Serengeti_Baskerville","FP","hibiscus_lunariifolius",23.1432692307692
"Serengeti_Baskerville","FP","hibiscus_spp.",23.1432692307692
"Serengeti_Baskerville","FP","hibiscus_to_pavonia",12.8266012307692
"Serengeti_Baskerville","FP","Hippopotamus_amphibius",59.5
"Serengeti_Baskerville","FP","hoslundia_opposita",35.886452991453
"Serengeti_Baskerville","FP","hoslundia_to_iboza_to_ocimum",33.5197863247863
"Serengeti_Baskerville","FP","hyparrhenia",6.9125
